school_id,ten_truong,thanh_pho,chuong_trinh,hoc_phi_tu_usd_thang,thoi_luong_goi_tuan,ky_tuc_xa_tu_usd_thang,uu_diem_noi_bat,phu_hop_voi,ghi_chu,nguon_xac_thuc
S001,,,,,,,,,,
S002,,,,,,,,,,
S003,,,,,,,,,,
